PassengerId,Survived,Pclass,Name,Gender,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,John Doe,female,69,4,4,A/5 21171,74.70990107228684,C85,Q
2,1,2,John Doe,male,54,3,0,A/5 21171,17.918434106873843,C85,S
3,0,2,John Doe,male,79,3,0,A/5 21171,74.02618300109951,C85,S
4,0,2,John Doe,female,67,0,4,A/5 21171,45.805186392224705,C85,S
5,1,2,John Doe,male,15,2,2,A/5 21171,60.186771288859454,C85,C
6,1,1,John Doe,female,63,3,0,A/5 21171,53.23714100982843,C85,S
7,1,2,John Doe,male,24,4,4,A/5 21171,21.026096716382924,C85,C
8,1,2,John Doe,male,64,0,0,A/5 21171,50.647390184457535,C85,S
9,1,3,John Doe,female,67,0,0,A/5 21171,97.6351062954256,C85,S
10,0,2,John Doe,female,61,4,3,A/5 21171,20.823126980038964,C85,Q
11,1,1,John Doe,male,59,3,3,A/5 21171,90.7474549495665,C85,C
12,0,1,John Doe,male,4,1,2,A/5 21171,68.9463377610934,C85,S
13,0,1,John Doe,female,36,3,0,A/5 21171,75.87709302778198,C85,Q
14,0,3,John Doe,male,48,4,2,A/5 21171,32.27187848944199,C85,S
15,1,3,John Doe,male,74,3,4,A/5 21171,91.19436092920644,C85,Q
16,0,1,John Doe,female,2,3,2,A/5 21171,30.782123785427604,C85,C
17,0,3,John Doe,male,30,0,2,A/5 21171,39.23110248254056,C85,S
18,0,3,John Doe,male,27,4,1,A/5 21171,33.53877950628785,C85,S
19,1,2,John Doe,male,77,3,0,A/5 21171,73.52278018887716,C85,Q
20,0,1,John Doe,female,44,3,2,A/5 21171,75.70621438849797,C85,S
21,1,2,John Doe,female,50,2,1,A/5 21171,18.330987532956023,C85,Q
22,0,2,John Doe,male,2,0,2,A/5 21171,94.11663369171961,C85,C
23,0,3,John Doe,male,6,4,2,A/5 21171,24.763475670232026,C85,C
24,1,2,John Doe,male,32,4,3,A/5 21171,41.766608878773766,C85,C
25,1,2,John Doe,female,21,2,3,A/5 21171,33.727331606122995,C85,S
26,0,2,John Doe,male,50,0,1,A/5 21171,51.33968427161173,C85,C
27,1,1,John Doe,female,72,0,1,A/5 21171,70.02497344926604,C85,C
28,0,3,John Doe,male,74,3,2,A/5 21171,53.993198537576355,C85,S
29,1,2,John Doe,female,35,3,1,A/5 21171,63.36107393072323,C85,Q
30,1,1,John Doe,female,23,3,4,A/5 21171,62.73505422476296,C85,S
31,1,2,John Doe,male,40,4,0,A/5 21171,68.90347103147323,C85,Q
32,0,2,John Doe,male,39,1,4,A/5 21171,25.54719755897716,C85,C
33,0,3,John Doe,female,12,1,3,A/5 21171,64.4699086992575,C85,C
34,1,2,John Doe,male,9,1,2,A/5 21171,86.45123885112719,C85,C
